,D3FEND Tactic,D3FEND Technique,,D3FEND Technique Level 1,D3FEND Technique Level 2,Definition
,Application Hardening
,,Exception Handler Pointer Validation,Validates that a referenced exception handler pointer is a valid exception handler.
,,Authentication Event Thresholding,Collecting authentication events, creating a baseline user profile, and determining whether authentication events are consistent with the baseline profile.
,,Authorization Event Thresholding,Collecting authorization events, creating a baseline user profile, and determining whether authorization events are consistent with the baseline profile.
,,Job Function Access Pattern Analysis,Detecting anomalies in user access patterns by comparing user access activity to behavioral profiles that categorize users by role such as job title, function, department.
,,Resource Access Pattern Analysis,Analyzing the resources accessed by a user to identify unauthorized activity.
,,Session Duration Analytics,Analyzing the duration of user sessions in order to detect unauthorized behavior.
,,User Data Transfer Analysis,Analyzing the amount of data transferred by a user.
,,User Geolocation Logon Pattern Analysis,Monitoring geolocation data of user logon attempts and comparing it to a baseline user behavior profile to identify anomalies in logon location.
,,Web Session Activity Analysis,Monitoring changes in user web session behavior by comparing current web session activity to a baseline behavior profile or a catalog of predetermined malicious behavior.
,Process Analysis
,,Database Query String Analysis,Analyzing database queries to detect [SQL Injection](https://capec.mitre.org/data/definitions/66.html).
,,File Access Pattern Analysis,Analyzing the files accessed by a process to identify unauthorized activity.
,,Indirect Branch Call Analysis,Analyzing vendor specific branch call recording in order to detect ROP style attacks.
,,Process Code Segment Verification,Comparing the "text" or "code" memory segments to a source of truth.
,,Process Lineage Analysis,Identification of suspicious processes executing on an end-point device by examining the ancestry and siblings of a process, and the associated metadata of each node on the tree, such as process execution, duration, and order relative to siblings and ancestors.
,,Process Self-Modification Detection,Detects processes that modify, change, or replace their own code at runtime.
,,Process Spawn Analysis,Analyzing spawn arguments or attributes of a process to detect processes that are unauthorized.
,,Script Execution Analysis,Analyzing the execution of a script to detect unauthorized user activity.
,,Shadow Stack Comparisons,Comparing a call stack in system memory with a shadow call stack maintained by the processor to determine unauthorized shellcode activity.
,,System Call Analysis,Analyzing system calls to determine whether a process is exhibiting unauthorized behavior.
,File Analysis
,,Dynamic Analysis,Executing or opening a file in a synthetic "sandbox" environment to determine if the file is a malicious program or if the file exploits another program such as a document reader.
,,Emulated File Analysis,Emulating instructions in a file looking for specific patterns.
,,File Content Rules,Employing a pattern matching rule language to analyze files.
,,File Hashing,Employing file hash comparisons to detect known malware.
,Operating System Monitoring
,,Endpoint Health Beacon,Monitoring the security status of an endpoint by sending periodic messages with health status, where absence of a response may indicate that the endpoint has been compromised.
,,Input Device Analysis,Operating system level mechanisms to prevent abusive input device exploitation.
,,Local Account Monitoring,Analyzing changes to local user accounts to detect unauthorized modifications.
,,Memory Boundary Tracking,Analyzing a call stack for return addresses which point to unexpected  memory locations.
,,Scheduled Job Analysis,Analysis of source files, processes, destination files, or destination servers associated with a scheduled job to detect unauthorized use of job scheduling.
,,System Daemon Monitoring,Tracking changes to the state or configuration of critical system level processes.
,,System File Analysis
,,,Service Binary Verification,Analyzing changes in service binary files by comparing to a source of truth.
,,User Session Init Config Analysis,Analyzing modifications to user session config files such as .bashrc or .bash_profile.
,Identifier Analysis
,,Homoglyph Detection,Comparing strings using a variety of techniques to determine if a deceptive or malicious string is being presented to a user.
,,URL Analysis,Determining if a URL is benign or malicious by analyzing the URL or its components.
,Message Analysis
,,Sender MTA Reputation Analysis,Characterizing the reputation of mail transfer agents (MTA) to determine the security risk in emails.
,,Sender Reputation Analysis,Ascertaining sender reputation based on information associated with a message (e.g. email/instant messaging).
,Network Isolation
,,Broadcast Domain Isolation,Broadcast isolation restricts the number of computers a host can contact on their LAN.
,,DNS Blacklisting
,,,Forward Resolution Domain Blacklisting
,,,,Hierarchical Domain Blacklisting,Blocking the resolution of any subdomain of a specified domain name.
,,,,Homoglyph Blacklisting,Blocking DNS queries that are deceptively similar to legitimate domain names.
,,,Forward Resolution IP Blacklisting,Blocking a DNS lookup's answer's IP address value.
,,,Reverse Resolution Domain Blacklisting,Blocking a reverse DNS lookup's answer’s domain name value.
,,,Reverse Resolution IP Blacklisting,Blocking a reverse lookup based on the query’s IP address value.
,,Encrypted Tunnels,Encrypted encapsulation of routable network traffic.
,,Inbound Traffic Filtering,Restricting network traffic originating from untrusted networks destined towards a private host or enclave.
,,Outbound Traffic Filtering,Restricting network traffic originating from a private host or enclave destined towards untrusted networks.
,Execution Isolation
,,Executable Blacklisting,Blocking the execution of files on a host in accordance with defined application policy rules.
,,Hardware-Based Process Isolation,Preventing one process from writing to the memory space of another process through hardware based address manager implementations.
,,Kernel Based Process Isolation,Preventing one process from writing to the memory space of another process with kernel based software.
,Decoy Environment
,,Connected Honeynet,A decoy service, system, or environment, that is connected to the enterprise network, and simulates or emulates certain functionality to the network, without exposing full access to a production system.
,,Integrated Honeynet,The practice of setting decoys in a production environment to entice interaction from attackers.
,,Standalone Honeynet,An environment created for the purpose of attracting attackers and eliciting their behaviors that is not connected to any production enterprise systems.
,Decoy Object
,,Decoy File,A file created for the purposes of deceiving an adversary.
,,Decoy Network Resource,Deploying a network resource for the purposes of deceiving an adversary.
,,Decoy Persona,Establishing a fake online identity to misdirect, deceive, and or interact with adversaries.
,,Decoy Public Release,Issuing publicly released media to deceive adversaries.
,,Decoy Session Token,An authentication token created for the purposes of deceiving an adversary.
,,Decoy User Credential,A Credential created for the purpose of deceiving an adversary.
,Credential Eviction
,,Account Locking,The process of temporarily disabling user accounts on a system or domain.
,,Authentication Cache Invalidation,Removing tokens or credentials from an authentication cache to prevent further user associated account accesses.
,,Credential Compromise Scope Analysis,Determining which credentials maybe have been compromised by analyzing the user logon history of a particular system.
,Process Eviction
,,Process Termination,Terminating a running application process on a computer system.
